name,archival_object_title,archival_object_ref_id
"""Baboika""",Letter to Frederick Fraley;,ref527
"""Baboika""",Letter to secretary of A.P.S.[Henry Phillips];,ref614
"""Cousin Emma""","""Cousin Emma"" to Lui [Peale]",ref9736
"""Cousin Mary""","""Cousin Mary"" to Ellie [Sellers]",ref9822
"""Cursum Perficio""",Transmutation of the elements,ref3370
"""Eliza""","""Eliza"" to Ellie and Lucy",ref9821
"""Freedom."" Dublin","""Freedom."" Dublin to William Temple Franklin",ref1685
"""Freedom."" Dublin","""Freedom."" Dublin to William Temple Franklin",ref1833
"""I. S. S.""","Letter to David Rittenhouse, John Ewing, William Smith or Thomas Jefferson, Philadelphia;",ref1171
"""Kate""","""Kate"" to Ellie Parrish Sellers",ref9711
"""Lobo""",Letter to Henry Phillips,ref3761
"""Plebia""","""Plebia"" to Nathanael Greene",ref2420
"""Several Natives of America""",Petition to Great Britain. Parliament,ref63
"""Vestatur""",to Benjamin Franklin,ref904
(Unknown),,
(Vessel),,
"*Case, Bill",New Drug's Affect on TB Is Minimized,ref233
*HCH,"Autobiographical Notes - Jinnah: ""Lady Mountbatten - Nehru's Lover""",ref305
*HCH,Miscellaneous - Note about earliest Charts and Case Histories,ref327
*HCH,Miscellaneous - Note concerning reprints,ref328
"-----, Bridget","Letter to [Emily Graff] Vaux, 1815-1877",ref5560
"-----, Charles","-----, Charles to Master Beasley",aspace_fd02ac61939031207f5e1eccc4d84434
"-----, Jean Baptiste Marie",AMs,ref421
"------, Comte de","------, Comte de to Benjamin Franklin",ref1584
"------, Comte de","------, Comte de to Benjamin Franklin",ref1588
A French Sailor,A French Sailor to Benjamin Franklin,ref4492
A General Officer,A General Officer to ------ ------,ref8714
A Member of Congress,A Member of Congress to ------- ------,ref8726
A Philadelphian,"to the Freemen, Citizens of Philadelphia",ref2424
A Portugal Merchant,"A Portugal Merchant to the Printer of the <emph render=""italic"">London Chronicle</emph>",ref8180
A Tradesman,"to ""The Tradesmen, Farmers and Other Inhabitants of Philadelphia""",ref2412
A. B. Andrews Company,<title>State of Utah.</title> U.S. Department of the Interior. Compiled from the official records of the General Land Office and other sources under the direction of I. P. Berthrong. 1908. Washington: A. B. Andrews Co.: 1908.,ref7568
A. Dulau &amp; Co.,Letter to the American Philosophical Society,ref1735
A. Dulau &amp; Co.,Letter to the American Philosophical Society,ref1738
A. Dulau &amp; Co.,Letter to H[enr]y Phillips,ref2047
A. Dulau &amp; Co.,Letter to H[enry] Phillips,ref3139
A. Dulau &amp; Co.,Letter to H[enry] Phillips,ref3142
A. Dulau &amp; Co.,Letter to the American Philosophical Society,ref1169
A. Dulau &amp; Co.,Letter to the American Philosophical Society,ref3086
A. Dulau &amp; Co.,Letter to the American Philosophical Society,ref3897
A. Dulau &amp; Co.,Letter to MacCalla Company,ref3584
A. Dulau &amp; Co.,Letter to the American Philosophical Society,ref996
A. Dulau &amp; Co.,Dulau and Company letter to Frank S. Collins,aspace_3a2d7f2c56ef17e345815b7e83de697e
A. Dulau &amp; Co.,Dulau and Company letter to Frank S. Collins,aspace_0292122e535758693a5c089351cc5e2c
A. Dulau &amp; Co.,Letter to the American Philosophical Society,ref1735
A. Dulau &amp; Co.,Letter to the American Philosophical Society,ref1169
A. Dulau &amp; Co.,Letter to the American Philosophical Society,ref3086
A. Dulau &amp; Co.,Letter to the American Philosophical Society,ref996
A. Hoen &amp; Co.,"<title>Map of West Virginia showing coal, oil, gas, iron ore and limestone areas.</title> Geological Survey of West Virginia. From the topographical sheets of the U.S. Geological Survey. Baltimore: Hoen &amp; Co.: [1917].",ref5892
A. Hoen &amp; Co.,<title>Map of West Virginia showing railroads. Geological Survey of West Virginia.</title> Base from government and other surveys by Ray V. Hennen and R. C. Tucker. Baltimore: Hoen &amp; Co.: [1917].,ref5898
